id,parent_id,name,rank,common_name,obs_count
127510,127511,Fomes fomentarius,species,Hoof Fungus,145
175350,54321,Pseudevernia,genus,,0
175355,175350,Pseudevernia furfuracea,species,tree moss,139
54574,47167,Schizophyllaceae,family,,0
54575,54574,Schizophyllum,genus,,0
54573,54575,Schizophyllum commune,species,splitgill mushroom,136
48708,50814,Phallales,order,stinkhorns and allies,0
1395929,48708,Clathraceae,family,,0
51137,1395929,Clathrus,genus,Cage Stinkhorns,0
51135,51137,Clathrus archeri,species,devil's-fingers,135
553906,48702,Neoboletus,genus,,0
553907,553906,Neoboletus erythropus,species,Dotted Stem Bolete,133
55523,48250,Leotiomycetes,class,,0
125771,55523,Rhytismatales,order,,0
125772,125771,Rhytismataceae,family,,0
130943,125772,Rhytisma,genus,Tar Spot Fungi,0
130935,130943,Rhytisma acerinum,species,Black Tar Spot,131
54735,54321,Parmelia,genus,shield lichens,0
54734,54735,Parmelia sulcata,species,Netted shield lichen,129
47350,50814,Cantharellales,order,,0
48423,47350,Hydnaceae,family,,0
47348,48423,Cantharellus,genus,chanterelles,0
47347,47348,Cantharellus cibarius,species,Golden Chanterelle,120
48341,50814,Russulales,order,,0
55502,48341,Stereaceae,family,,0
55503,55502,Stereum,genus,,0
55501,55503,Stereum hirsutum,species,hairy curtain crust,117
50253,48327,Lecanoraceae,family,"rim lichens, disc lichens, and allies",0
532707,50253,Protoparmeliopsis,genus,,0
632126,532707,Protoparmeliopsis muralis,species,Stonewall Rim Lichen,116
1155395,47167,Clitocybaceae,family,,0
54625,1155395,Clitocybe,genus,Funnels,0
63255,54625,Clitocybe nebularis,species,Cloudy Clitocybe,113
972792,48445,Apioperdon,genus,,0
972793,972792,Apioperdon pyriforme,species,Pear-shaped Puffball,110
48712,54743,Peltigerales,order,,0
54295,48712,Peltigeraceae,family,,0
54294,54295,Peltigera,genus,pelt lichens,0
127051,54294,Peltigera praetextata,species,scaly pelt lichen,109
125713,48702,Strobilomyces,genus,,0
352462,125713,Strobilomyces strobilaceus,species,Old-man-of-the-woods,103
510855,48702,Imleria,genus,,0
510854,510855,Imleria badia,species,Bay Bolete,101
49489,48327,Cladoniaceae,family,spindles and structured lichens,0
49490,49489,Cladonia,genus,pixie cup and reindeer lichens,0
179037,49490,Cladonia fimbriata,species,Trumpet Lichen,98
63271,48419,Amanita citrina,species,False Death-cap,92
53715,47380,Meripilaceae,family,,0
125757,53715,Meripilus,genus,,0
157989,125757,Meripilus giganteus,species,Giant Polypore,89
48713,48712,Lobariaceae,family,,0
48714,48713,Lobaria,genus,Lung Lichens,0
48711,48714,Lobaria pulmonaria,species,Tree Lungwort,88
50815,50814,Auriculariales,order,,0
348834,50815,Guepinia,genus,,0
